13:40:34.365 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:40:34.386 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:40:34.388 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@669036bb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@487789ee, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3e7a4ab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@c968a1e] 
13:40:34.473 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/build/resources/main/application-context.xml] 
13:40:34.658 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
13:40:34.684 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:40:34.700 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:40:34.848 [Test worker] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 13:40:34 CET 2016]; root of context hierarchy 
13:40:34.927 [Test worker] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:40:35.415 [Thread-5] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 13:40:34 CET 2016]; root of context hierarchy 
13:40:42.502 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:40:42.522 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:40:42.524 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@669036bb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@487789ee, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3e7a4ab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@c968a1e] 
13:40:42.607 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/build/resources/main/application-context.xml] 
13:40:42.674 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
13:40:42.700 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:40:42.715 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:40:42.864 [Test worker] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 13:40:42 CET 2016]; root of context hierarchy 
13:40:42.940 [Test worker] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:40:43.408 [Thread-5] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 13:40:42 CET 2016]; root of context hierarchy 
13:46:28.928 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:46:28.939 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:46:28.942 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@59e5ddf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@536aaa8d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@e320068, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1f57539] 
13:46:29.020 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/bin/application-context.xml] 
13:46:29.091 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
13:46:29.123 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:46:29.138 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:46:29.275 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@50d0686: startup date [Wed Feb 24 13:46:29 CET 2016]; root of context hierarchy 
13:46:29.340 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:46:29.802 [Thread-2] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@50d0686: startup date [Wed Feb 24 13:46:29 CET 2016]; root of context hierarchy 
13:55:19.499 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:55:19.509 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:55:19.512 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@59e5ddf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@536aaa8d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@e320068, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1f57539] 
13:55:19.592 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/bin/application-context.xml] 
13:55:19.668 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
13:55:19.699 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:55:19.715 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:55:19.889 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@50d0686: startup date [Wed Feb 24 13:55:19 CET 2016]; root of context hierarchy 
13:55:19.957 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:55:20.430 [Thread-2] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@50d0686: startup date [Wed Feb 24 13:55:19 CET 2016]; root of context hierarchy 
13:55:52.946 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:55:52.956 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:55:52.959 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@59e5ddf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@536aaa8d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@e320068, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1f57539] 
13:55:53.034 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/bin/application-context.xml] 
13:55:53.103 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
